,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B,valence,time
0,-0.6914089322090149,0.12612010538578033,0.6331222057342529,-0.03737674281001091,-0.31614950299263,-1.2062023878097534,-1.705960750579834,0.024429475888609886,-0.20994144678115845,0.2125949263572693,-1.1656569242477417,0.20210206508636475,1.7780776023864746,0.024111414328217506,1.5124787092208862,-0.2797980308532715,1.1815345287322998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08547388,0.02
1,-0.6913413405418396,0.1267501264810562,0.6331661939620972,-0.037374503910541534,-0.31597813963890076,-1.2047560214996338,-1.707443356513977,0.02443893998861313,-0.20357748866081238,0.21234984695911407,-1.1652194261550903,0.20206467807292938,1.778368353843689,0.024105124175548553,1.5139541625976562,-0.2798391580581665,1.1809080839157104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.085534684,0.08
2,-0.6912806630134583,0.12734784185886383,0.6331784129142761,-0.03737661987543106,-0.3158087134361267,-1.2034894227981567,-1.7088344097137451,0.02444666251540184,-0.19746501743793488,0.21214023232460022,-1.164660930633545,0.2020622044801712,1.7785955667495728,0.02409585937857628,1.5154452323913574,-0.27991822361946106,1.1801965236663818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08559262,0.13999999999999999
3,-0.691234290599823,0.12786872684955597,0.6331499814987183,-0.03741145133972168,-0.31565096974372864,-1.202370524406433,-1.7100582122802734,0.02445410192012787,-0.1914716362953186,0.2119588553905487,-1.163948893547058,0.20207665860652924,1.778696060180664,0.02408243902027607,1.5168733596801758,-0.2800121009349823,1.1793391704559326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.085638516,0.19999999999999998
4,-0.6911943554878235,0.12833938002586365,0.6331088542938232,-0.03750023618340492,-0.3154999017715454,-1.2010350227355957,-1.7112257480621338,0.024465592578053474,-0.1850166767835617,0.21173740923404694,-1.1632256507873535,0.20203089714050293,1.778726577758789,0.024069251492619514,1.5181794166564941,-0.2800074815750122,1.1784389019012451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08567033,0.26
5,-0.6911426186561584,0.12869715690612793,0.6328150629997253,-0.03757935017347336,-0.3153105676174164,-1.1995656490325928,-1.7123748064041138,0.024478435516357422,-0.17757080495357513,0.21145020425319672,-1.1625078916549683,0.20217113196849823,1.7787425518035889,0.024057501927018166,1.5195326805114746,-0.2798944115638733,1.177675724029541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.085732415,0.32
6,-0.6910852193832397,0.12900173664093018,0.6324230432510376,-0.037658557295799255,-0.3151043951511383,-1.198035717010498,-1.7135170698165894,0.024492081254720688,-0.16972798109054565,0.211140438914299,-1.1617833375930786,0.2023835927248001,1.7787549495697021,0.02404659613966942,1.5208948850631714,-0.27974045276641846,1.1769344806671143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08580451,0.38
7,-0.691025972366333,0.12930606305599213,0.632012665271759,-0.03773700073361397,-0.31488943099975586,-1.1964887380599976,-1.7146484851837158,0.02450624294579029,-0.1618400365114212,0.2108299434185028,-1.1610177755355835,0.20260442793369293,1.7787563800811768,0.024036170914769173,1.522239327430725,-0.2795756459236145,1.176150918006897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08587857,0.44
8,-0.6909364461898804,0.12926055490970612,0.6315247416496277,-0.03789900615811348,-0.31465452909469604,-1.1950899362564087,-1.715029239654541,0.024537714198231697,-0.1522052139043808,0.21062129735946655,-1.1609725952148438,0.20348557829856873,1.7784881591796875,0.024041928350925446,1.523535132408142,-0.27963167428970337,1.1768364906311035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08616231,0.5
9,-0.6908635497093201,0.12934061884880066,0.6308395862579346,-0.037827931344509125,-0.3144661784172058,-1.1931121349334717,-1.7153797149658203,0.02457033284008503,-0.1408655196428299,0.21032771468162537,-1.1600412130355835,0.2046245038509369,1.7778904438018799,0.024038642644882202,1.5242412090301514,-0.27961766719818115,1.1775730848312378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08645776,0.56
