,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
0,-0.21629119,0.0061359406,-0.036815643,-0.010737896,-0.029145718,-0.5154176,-1.2287185,0.572935,1.5477867,0.14266014,-0.03532386,0.50774765,1.2210487,0.5711775,1.5431845,-0.14266014,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,-0.21629119,0.0061359406,-0.036815643,-0.010737896,-0.029145718,-0.5138836,-1.2287185,0.572935,1.5477867,0.14266014,-0.03532386,0.50621367,1.2210487,0.5711775,1.5447185,-0.14266014,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,-0.21629119,0.0076699257,-0.036815643,-0.010737896,-0.030679703,-0.5154176,-1.2287185,0.572935,1.5477867,0.14266014,-0.03532386,0.50774765,1.2210487,0.572935,1.5431845,-0.14266014,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,-0.21629119,0.0061359406,-0.036815643,-0.010737896,-0.029145718,-0.5154176,-1.2287185,0.5764499,1.5477867,0.14266014,-0.03532386,0.50621367,1.2210487,0.5746925,1.5431845,-0.14266014,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,-0.21629119,0.0061359406,-0.036815643,-0.010737896,-0.030679703,-0.52001953,-1.2287185,0.5579965,1.5462527,0.14266014,-0.03532386,0.5108156,1.2210487,0.5623902,1.5447185,-0.14266014,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,-0.21782517,0.0061359406,-0.03528166,-0.010737896,-0.030679703,-0.5307574,-1.2271845,0.52811956,1.5447187,0.14572811,-0.032255888,0.52001953,1.2210487,0.53778565,1.5447185,-0.14266014,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,-0.21935916,0.0061359406,-0.033747673,-0.010737896,-0.032213688,-0.5445633,-1.2210486,0.48594022,1.5355148,0.15033007,-0.032255888,0.5322914,1.2210487,0.5070299,1.5431845,-0.14572811,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,-0.2147572,0.0061359406,-0.023009777,-0.010737896,-0.03528166,-0.55683494,-1.2179806,0.45694196,1.5263109,0.15339804,-0.032255888,0.5414953,1.2210487,0.48506153,1.5401165,-0.14879608,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,-0.21782517,0.0061359406,-0.012271881,-0.010737896,-0.039883614,-0.5813787,-1.2149127,0.40333915,1.5079031,0.15953398,-0.029187918,0.5614369,1.2210487,0.44727588,1.5247772,-0.15186405,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,-0.236233,0.0061359406,-0.0046019554,-0.010737896,-0.04448533,-0.60745645,-1.2149127,0.34622145,1.4848934,0.17027187,-0.026119947,0.5798447,1.2179807,0.40509665,1.5079033,-0.15799999,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,-0.2454369,0.0061359406,0.0030679703,-0.009203911,-0.0475533,-0.6320002,-1.2118447,0.29086113,1.4618838,0.18100977,-0.023051977,0.6013205,1.2133788,0.36115992,1.4910295,-0.16566992,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,-0.2454369,0.0061359406,0.0076699257,-0.009203911,-0.049087286,-0.6611457,-1.2087767,0.23550093,1.438874,0.1886797,-0.023051977,0.6227963,1.201107,0.3207382,1.4710877,-0.17333984,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,-0.2454369,0.0061359406,0.012271881,-0.009203911,-0.05062127,-0.68568945,-1.2057087,0.1871705,1.4173983,0.19941759,-0.019984007,0.64273787,1.198039,0.28295255,1.4542139,-0.18100977,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,-0.24697089,0.0061359406,0.013805866,-0.009203911,-0.05062127,-0.7010293,-1.2041748,0.16168714,1.4066604,0.20401955,-0.019984007,0.65500975,1.198039,0.26186287,1.44501,-0.18561172,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,-0.24697089,0,0.015339851,-0.009203911,-0.05062127,-0.7255728,-1.2011068,0.12565911,1.3897866,0.21322322,-0.019984007,0.67341757,1.1949711,0.22671354,1.434272,-0.19328165,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,-0.24697089,-0.016873837,0.015339851,-0.009203911,-0.05062127,-0.7501166,-1.1965048,0.09666085,1.3744469,0.22089314,-0.019984007,0.6933594,1.1903691,0.1915642,1.4220002,-0.20095158,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,-0.24697089,-0.032213688,0.015339851,-0.0076699257,-0.05062127,-0.77312636,-1.1934369,0.079086065,1.363709,0.22856307,-0.019984007,0.7133012,1.1888351,0.15817225,1.4097283,-0.20708752,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,-0.24697089,-0.05368924,0.015339851,-0.009203911,-0.05062127,-0.7915342,-1.1903689,0.08260107,1.359107,0.23163104,-0.019984007,0.7301748,1.1857672,0.1247803,1.3974564,-0.21168947,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,-0.24697089,-0.06442714,0.015339851,-0.0076699257,-0.05062127,-0.80534005,-1.1903689,0.08260107,1.356039,0.23316503,-0.018450022,0.7409127,1.1857672,0.10984182,1.3882525,-0.21168947,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,-0.24697089,-0.07669902,0.015339851,-0.0076699257,-0.052155256,-0.8145437,-1.1903689,0.08260107,1.3545051,0.23316503,-0.019984007,0.7501166,1.1842332,0.097539544,1.3805826,-0.21322322,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,-0.24697089,-0.09510684,0.015339851,-0.0076699257,-0.052155256,-0.8298836,-1.1903689,0.08260107,1.3545051,0.23316503,-0.018450022,0.76392245,1.1842332,0.079086065,1.3713787,-0.21935916,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,-0.24697089,-0.11198068,0.013805866,-0.0076699257,-0.05062127,-0.85442734,-1.1903689,0.08260107,1.3529711,0.23316503,-0.019984007,0.78693223,1.1842332,0.085237265,1.3621747,-0.22702909,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,-0.23776698,-0.12578654,0.015339851,-0.0061359406,-0.052155256,-0.8759031,-1.1903689,0.08260107,1.3529711,0.23316503,-0.019984007,0.8084078,1.1842332,0.085237265,1.3606408,-0.22702909,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,-0.22089314,-0.1365242,0.015339851,-0.0061359406,-0.052155256,-0.8943107,-1.1903689,0.08260107,1.3529711,0.23469901,-0.019984007,0.8268156,1.1842332,0.085237265,1.3606408,-0.22702909,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
